var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
             AvgDailyCET1,    Numeric,0,
     	             CET1,    Numeric,0,
              AvgDailyAT1,    Numeric,0,
     	              AT1,    Numeric,0,
            AvgDailyTier1,    Numeric,0,
     	            Tier1,    Numeric,0,
            AvgDailyTier2,    Numeric,0,
     	            Tier2,    Numeric,0,
        AvgDailyTotRegCap,    Numeric,0,
     	        TotRegCap,    Numeric,0,
                 AVPRMCAP,    Numeric,0,
     	         PERMCAPA,    Numeric,0,
        AvgDailyRWARegCap,    Numeric,0,
         RWARegCap   ,    Numeric,0,
       AvgDailyRWAPermCap,    Numeric,0,
     	       RWAPermCap,    Numeric,0,
      AvgDailyUREandEquiv,    Numeric,0,
     	      UREandEquiv,    Numeric,0,
       AvgDailyAssetsLvrg,    Numeric,0,
        AssetsLvrg   ,    Numeric,0,
AvgDailyAllowRsrvNotTier2,    Numeric,0,
     	AllowRsrvNotTier2,    Numeric,0,
