var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
10_name,    Numeric,0,
10_DerivIntRate,    Numeric,0,
10_DerivFX,    Numeric,0,
10_DerivOther,    Numeric,0,
20_name,    Numeric,0,
20_DerivIntRate,    Numeric,0,
20_DerivFX,    Numeric,0,
20_DerivOther,    Numeric,0,
30_name,    Numeric,0,
30_DerivIntRate,    Numeric,0,
30_DerivFX,    Numeric,0,
30_DerivOther,    Numeric,0,
40_name,    Numeric,0,
40_DerivIntRate,    Numeric,0,
40_DerivFX,    Numeric,0,
40_DerivOther,    Numeric,0,
50_name,    Numeric,0,
50_DerivIntRate,    Numeric,0,
50_DerivFX,    Numeric,0,
50_DerivOther,    Numeric,0,
60_name,    Numeric,0,
60_DerivIntRate,    Numeric,0,
60_DerivFX,    Numeric,0,
60_DerivOther,    Numeric,0,
70_name,    Numeric,0,
70_DerivIntRate,    Numeric,0,
70_DerivFX,    Numeric,0,
70_DerivOther,    Numeric,0,
80_name,    Numeric,0,
80_DerivIntRate,    Numeric,0,
80_DerivFX,    Numeric,0,
80_DerivOther,    Numeric,0,
90_name,    Numeric,0,
90_DerivIntRate,    Numeric,0,
90_DerivFX,    Numeric,0,
90_DerivOther,    Numeric,0,
100_name,    Numeric,0,
100_DerivIntRate,    Numeric,0,
100_DerivFX,    Numeric,0,
100_DerivOther,    Numeric,0,
110_name,    Numeric,0,
110_DerivIntRate,    Numeric,0,
110_DerivFX,    Numeric,0,
110_DerivOther,    Numeric,0,
120_name,    Numeric,0,
120_DerivIntRate,    Numeric,0,
120_DerivFX,    Numeric,0,
120_DerivOther,    Numeric,0,
130_name,    Numeric,0,
130_DerivIntRate,    Numeric,0,
130_DerivFX,    Numeric,0,
130_DerivOther,    Numeric,0,
140_name,    Numeric,0,
140_DerivIntRate,    Numeric,0,
140_DerivFX,    Numeric,0,
140_DerivOther,    Numeric,0,
150_name,    Numeric,0,
150_DerivIntRate,    Numeric,0,
150_DerivFX,    Numeric,0,
150_DerivOther,    Numeric,0,
160_name,    Numeric,0,
160_DerivIntRate,    Numeric,0,
160_DerivFX,    Numeric,0,
160_DerivOther,    Numeric,0,
170_name,    Numeric,0,
170_DerivIntRate,    Numeric,0,
170_DerivFX,    Numeric,0,
170_DerivOther,    Numeric,0,
180_name,    Numeric,0,
180_DerivIntRate,    Numeric,0,
180_DerivFX,    Numeric,0,
180_DerivOther,    Numeric,0,
190_name,    Numeric,0,
190_DerivIntRate,    Numeric,0,
190_DerivFX,    Numeric,0,
190_DerivOther,    Numeric,0,
200_name,    Numeric,0,
200_DerivIntRate,    Numeric,0,
200_DerivFX,    Numeric,0,
200_DerivOther,    Numeric,0,
210_name,    Numeric,0,
210_DerivIntRate,    Numeric,0,
210_DerivFX,    Numeric,0,
210_DerivOther,    Numeric,0,
220_name,    Numeric,0,
220_DerivIntRate,    Numeric,0,
220_DerivFX,    Numeric,0,
220_DerivOther,    Numeric,0,
230_name,    Numeric,0,
230_DerivIntRate,    Numeric,0,
230_DerivFX,    Numeric,0,
230_DerivOther,    Numeric,0,
